Order_ID,Date,Product,Category,Region,Quantity,Price,Sales
1,2025-12-15,Mouse,Electronics,West,7,16295,114065
2,2025-08-03,Tablet,Electronics,West,5,6765,33825
3,2025-12-26,Tablet,Accessories,North,5,44631,223155
4,2025-07-11,Printer,Electronics,North,2,2933,5866
5,2025-08-24,Laptop,Electronics,East,6,6896,41376
6,2025-02-24,Printer,Accessories,North,3,2399,7197
7,2025-11-03,Mouse,Electronics,North,3,4056,12168
8,2025-03-30,Printer,Accessories,South,7,22277,155939
9,2025-02-22,Mobile,Accessories,West,9,24397,219573
10,2025-09-21,Mouse,Electronics,South,7,49055,343385
11,2025-02-19,Printer,Accessories,South,1,27031,27031
12,2025-04-16,Printer,Accessories,North,6,44073,264438
13,2025-02-13,Mobile,Accessories,South,2,7373,14746
14,2025-10-31,Mouse,Accessories,South,4,33106,132424
15,2025-07-09,Monitor,Accessories,North,7,26351,184457
16,2025-02-22,Mobile,Electronics,West,2,17762,35524
17,2025-01-15,Monitor,Electronics,North,9,38544,346896
18,2025-12-10,Laptop,Accessories,West,7,3068,21476
19,2025-05-19,Tablet,Electronics,West,8,48690,389520
20,2025-09-18,Mobile,Electronics,South,3,13166,39498
21,2025-07-20,Printer,Accessories,North,9,23162,208458
22,2025-03-03,Monitor,Electronics,West,7,35722,250054
23,2025-02-04,Laptop,Electronics,North,8,11465,91720
24,2025-08-06,Mouse,Electronics,South,3,17912,53736
25,2025-01-15,Mobile,Accessories,West,7,706,4942
26,2025-12-18,Mouse,Electronics,West,3,49202,147606
27,2025-08-19,Monitor,Electronics,East,4,18641,74564
28,2025-07-06,Tablet,Accessories,West,4,16698,66792
29,2025-02-14,Keyboard,Electronics,North,2,44189,88378
30,2025-01-28,Printer,Accessories,West,6,29967,179802
31,2025-08-19,Keyboard,Electronics,North,7,16207,113449
32,2025-05-01,Printer,Electronics,North,9,1806,16254
33,2025-07-17,Tablet,Electronics,South,3,40794,122382
34,2025-11-03,Mobile,Accessories,West,5,32468,162340
35,2025-08-21,Printer,Electronics,South,6,30803,184818
36,2025-02-21,Printer,Accessories,East,1,39853,39853
37,2025-04-23,Monitor,Electronics,West,2,24438,48876
38,2025-01-02,Mobile,Accessories,South,1,27236,27236
39,2025-08-12,Laptop,Electronics,East,7,25048,175336
40,2025-06-21,Mobile,Accessories,South,2,22056,44112
41,2025-07-22,Tablet,Electronics,East,7,5431,38017
42,2025-11-21,Printer,Accessories,South,6,2827,16962
43,2025-08-28,Laptop,Electronics,West,6,35198,211188
44,2025-09-16,Printer,Accessories,East,6,16208,97248
45,2025-12-12,Tablet,Electronics,East,4,7046,28184
46,2025-07-18,Printer,Electronics,North,4,3411,13644
47,2025-02-08,Mobile,Accessories,North,8,6259,50072
48,2025-05-31,Mouse,Accessories,South,9,39884,358956
49,2025-09-09,Mobile,Accessories,North,3,17146,51438
50,2025-01-02,Laptop,Accessories,South,4,12335,49340
51,2025-01-09,Laptop,Electronics,East,5,30355,151775
52,2025-06-01,Keyboard,Accessories,North,3,4999,14997
53,2025-03-16,Laptop,Accessories,West,8,29799,238392
54,2025-04-22,Keyboard,Electronics,East,6,48854,293124
55,2025-12-04,Mobile,Accessories,East,9,47440,426960
56,2025-06-10,Printer,Electronics,South,9,29143,262287
57,2025-05-15,Tablet,Electronics,West,5,21795,108975
58,2025-01-22,Keyboard,Accessories,South,1,5055,5055
59,2025-02-20,Keyboard,Accessories,East,6,3936,23616
60,2025-10-13,Laptop,Accessories,East,2,48904,97808
61,2025-11-13,Tablet,Accessories,East,1,29624,29624
62,2025-01-17,Printer,Accessories,South,1,40947,40947
63,2025-04-09,Printer,Electronics,North,5,44025,220125
64,2025-10-29,Monitor,Electronics,East,8,3920,31360
65,2025-09-10,Monitor,Accessories,East,1,690,690
66,2025-05-08,Mobile,Electronics,South,1,20278,20278
67,2025-11-19,Keyboard,Accessories,South,6,1069,6414
68,2025-05-07,Tablet,Accessories,South,6,18570,111420
69,2025-10-26,Keyboard,Accessories,East,1,28251,28251
70,2025-11-02,Laptop,Accessories,North,7,39254,274778
71,2025-02-05,Monitor,Accessories,North,7,24876,174132
72,2025-05-22,Printer,Electronics,East,8,7155,57240
73,2025-10-15,Mouse,Electronics,South,2,13621,27242
74,2025-07-05,Mouse,Accessories,North,3,28812,86436
75,2025-12-08,Laptop,Accessories,South,6,31789,190734
76,2025-04-11,Laptop,Accessories,North,6,30249,181494
77,2025-07-15,Keyboard,Electronics,West,5,22106,110530
78,2025-02-16,Tablet,Electronics,West,4,32593,130372
79,2025-09-26,Mobile,Accessories,South,4,40067,160268
80,2025-04-30,Mouse,Electronics,West,3,21636,64908
81,2025-08-17,Mobile,Electronics,South,7,26445,185115
82,2025-05-09,Mobile,Accessories,North,7,1650,11550
83,2025-05-06,Keyboard,Accessories,North,2,46675,93350
84,2025-09-29,Monitor,Electronics,West,8,49512,396096
85,2025-12-15,Mouse,Electronics,West,5,48393,241965
86,2025-03-27,Laptop,Electronics,South,3,13784,41352
87,2025-04-04,Keyboard,Accessories,West,5,44578,222890
88,2025-08-06,Mobile,Accessories,North,5,30399,151995
89,2025-10-16,Keyboard,Accessories,North,7,26711,186977
90,2025-01-10,Keyboard,Electronics,West,7,39149,274043
91,2025-09-07,Tablet,Accessories,West,2,40658,81316
92,2025-11-21,Monitor,Accessories,West,1,42475,42475
93,2025-09-15,Laptop,Accessories,West,8,39146,313168
94,2025-06-27,Tablet,Accessories,North,4,18571,74284
95,2025-06-28,Tablet,Electronics,West,1,5552,5552
96,2025-06-17,Mobile,Electronics,West,3,32820,98460
97,2025-08-30,Tablet,Electronics,North,2,32496,64992
98,2025-03-31,Keyboard,Accessories,East,8,23632,189056
99,2025-07-15,Mobile,Electronics,South,9,20858,187722
100,2025-08-05,Monitor,Electronics,North,8,40855,326840
101,2025-12-23,Laptop,Accessories,West,4,44925,179700
102,2025-04-09,Printer,Accessories,North,3,49316,147948
103,2025-06-01,Mouse,Accessories,West,7,35411,247877
104,2025-07-02,Monitor,Electronics,North,5,45311,226555
105,2025-10-13,Laptop,Electronics,South,3,21852,65556
106,2025-08-05,Keyboard,Electronics,East,4,47459,189836
107,2025-04-10,Printer,Electronics,North,3,47780,143340
108,2025-09-22,Mouse,Accessories,South,3,37439,112317
109,2025-05-24,Monitor,Electronics,East,4,5986,23944
110,2025-02-22,Mouse,Accessories,North,9,32167,289503
111,2025-06-30,Mobile,Accessories,East,7,19040,133280
112,2025-08-03,Monitor,Electronics,East,5,24214,121070
113,2025-03-17,Laptop,Accessories,South,2,38114,76228
114,2025-08-18,Mouse,Accessories,North,1,12016,12016
115,2025-10-10,Mobile,Accessories,North,8,39581,316648
116,2025-05-16,Monitor,Electronics,South,5,27462,137310
117,2025-11-23,Laptop,Electronics,West,4,26756,107024
118,2025-09-09,Mouse,Electronics,North,4,36409,145636
119,2025-04-01,Mobile,Accessories,East,6,27290,163740
120,2025-06-22,Monitor,Accessories,West,7,15985,111895
121,2025-12-27,Mouse,Electronics,East,4,13616,54464
122,2025-11-08,Laptop,Accessories,North,9,34482,310338
123,2025-02-13,Monitor,Accessories,North,6,2605,15630
124,2025-08-01,Tablet,Accessories,North,5,21059,105295
125,2025-05-27,Printer,Electronics,South,4,26326,105304
126,2025-05-23,Mouse,Electronics,North,9,38913,350217
127,2025-09-16,Mouse,Electronics,East,6,41321,247926
128,2025-06-05,Monitor,Accessories,South,8,25433,203464
129,2025-07-05,Printer,Accessories,West,4,36987,147948
130,2025-07-11,Tablet,Accessories,East,5,5335,26675
131,2025-07-31,Monitor,Accessories,West,1,38588,38588
132,2025-03-23,Tablet,Accessories,North,3,45945,137835
133,2025-11-08,Keyboard,Accessories,East,9,509,4581
134,2025-10-16,Keyboard,Electronics,South,5,1515,7575
135,2025-03-04,Laptop,Accessories,East,1,24333,24333
136,2025-04-08,Laptop,Electronics,East,1,47040,47040
137,2025-11-07,Keyboard,Accessories,North,1,904,904
138,2025-05-13,Keyboard,Electronics,North,5,33106,165530
139,2025-02-22,Monitor,Accessories,South,7,24024,168168
140,2025-03-26,Keyboard,Electronics,South,3,13956,41868
141,2025-06-22,Monitor,Accessories,South,1,45606,45606
142,2025-10-15,Mobile,Accessories,East,1,38244,38244
143,2025-09-07,Mobile,Accessories,South,8,14989,119912
144,2025-11-02,Printer,Electronics,South,3,29038,87114
145,2025-09-08,Laptop,Electronics,West,5,24785,123925
146,2025-08-17,Monitor,Accessories,South,7,44738,313166
147,2025-07-11,Printer,Accessories,South,3,16281,48843
